id,tracking_number,created_date,in_transit_date,country,zip_code,courier,delivery_region,delivery_cancelled,return_tracking,delivery_location,delivery_date,pickup_date
5f56557bf709b50ed0dac6d4,01475110793181,2020-09-07,2020-09-08 12:09:00,DEU,55774,dpd-de,DE-RP,f,f,HomeDeposit,2020-09-10 13:12:00,2020-09-08 00:00:00
5f56557c41bf7b0e876397d3,CM564452404DE,2020-09-07,2020-09-08 18:17:00,FRA,53000,dhl-germany,FR-R,f,f,Unknown,2020-09-16 10:37:00,2020-09-07 17:00:00
5f56557cd86f6179a54612a0,01475110793268,2020-09-07,2020-09-09 12:56:00,DEU,45149,dpd-de,DE-NW,f,f,Unknown,2020-09-10 14:12:00,2020-09-09 00:00:00
5f56557db183cd6dd87119fc,01475110793262,2020-09-07,2020-09-09 12:56:00,FRA,13290,dpd-de,FR-U,f,f,Unknown,2020-09-12 09:22:00,2020-09-09 00:00:00
5f56557db183cd6dd87119ff,01475110793251,2020-09-07,2020-09-09 13:00:00,DEU,12059,dpd-de,DE-BE,f,f,Unknown,2020-09-10 12:16:00,2020-09-09 00:00:00
5f56557def74957c86015744,00340434264503130637,2020-09-07,2020-09-08 15:36:00,DEU,25923,dhl-germany,DE-SH,f,f,Doorstep,2020-09-11 15:25:00,2020-09-07 17:00:00
5f56557ed090e00ecfa83d7c,01475110793258,2020-09-07,2020-09-09 12:55:00,FRA,24750,dpd-de,FR-B,f,f,Unknown,2020-09-11 10:29:00,2020-09-09 00:00:00
5f56557fac9f890e6e7b32f3,01475110793275,2020-09-07,2020-09-09 12:56:00,NLD,3893BH,dpd-de,NL-FL,f,f,Neighbor,2020-09-10 11:15:00,2020-09-09 00:00:00
5f56558004f44b0e889bb708,01475110793255,2020-09-07,2020-09-09 14:57:00,IRL,PO49AB,dpd-de,IE,f,f,Unknown,2020-09-11 11:28:00,2020-09-09 00:00:00
5f565581f6e3ff6dea0e761c,01475110793238,2020-09-07,2020-09-08 12:08:00,DEU,28757,dpd-de,DE-HB,f,f,Unknown,2020-09-09 09:59:00,2020-09-08 00:00:00
5f5655824e777b0eb95cf9e2,01475110793270,2020-09-07,2020-09-09 12:56:00,DEU,71332,dpd-de,DE-BW,f,f,Unknown,2020-09-10 11:54:00,2020-09-09 00:00:00
5f56558341bf7b0e876397e5,01475110793381,2020-09-07,2020-09-09 12:35:00,ESP,08003,dpd-de,ES-CT,f,f,Unknown,2020-09-14 16:31:00,2020-09-09 00:00:00
5f56558557f74c7a0d77cb04,1Z94341W6802695035,2020-09-07,2020-09-08 13:39:00,ITA,34149,ups,IT-36,f,f,Doorstep,2020-09-10 11:16:00,2020-09-07 17:00:00
5f56558590e6fe7d2118973a,01475110793306,2020-09-07,2020-09-09 12:53:00,DEU,26123,dpd-de,DE-NI,f,f,Unknown,2020-09-12 09:47:00,2020-09-09 00:00:00
5f565585d826596dd27d0738,1Z94341W6802695008,2020-09-07,2020-09-08 13:39:00,ITA,80047,ups,IT-72,f,f,Doorstep,2020-09-11 11:47:00,2020-09-07 17:00:00
5f565586ac9f890e6e7b32ff,01475110793367,2020-09-07,2020-09-09 12:43:00,DEU,56766,dpd-de,DE-RP,f,f,Unknown,2020-09-10 10:52:00,2020-09-09 00:00:00
5f50a21d6385061db123f07f,01475110787530,2020-09-03,2020-09-04 18:40:00,DEU,45147,dpd-de,DE-NW,f,f,Unknown,2020-09-07 09:49:00,2020-09-04 00:00:00
5f50a21dade04b0f107d3ab5,00340434264503096544,2020-09-03,2020-09-03 16:29:00,DEU,37081,dhl-germany,DE-NI,f,f,Unknown,2020-09-04 14:40:00,2020-09-03 09:00:00
5f50a21ec195250eb9916427,01475110787561,2020-09-03,2020-09-04 20:07:00,DEU,27711,dpd-de,DE-NI,f,f,HomeDeposit,2020-09-07 12:04:00,2020-09-04 00:00:00
5f50a21f12181b106ad23660,00340434264503096414,2020-09-03,2020-09-03 16:28:00,DEU,24211,dhl-germany,DE-SH,f,f,Unknown,2020-09-04 12:18:00,2020-09-03 09:00:00
5f50a21f483b4a105c4c8656,01475110787574,2020-09-03,2020-09-04 18:24:00,DEU,13589,dpd-de,DE-BE,f,f,Unknown,2020-09-07 12:59:00,2020-09-04 00:00:00
5f50a21f4c297b0ac7c7c782,00340434264503096438,2020-09-03,2020-09-03 16:28:00,DEU,24211,dhl-germany,DE-SH,f,f,Unknown,2020-09-04 12:18:00,2020-09-03 09:00:00
5f50a22190167e0a8b68d5b2,01475110787534,2020-09-03,2020-09-04 18:32:00,DEU,79108,dpd-de,DE-BW,f,f,Unknown,2020-09-07 11:50:00,2020-09-04 00:00:00
5f50a221c195250eb9916431,00340434264503096285,2020-09-03,2020-09-03 16:30:00,DEU,79739,dhl-germany,DE-BW,f,f,Unknown,2020-09-04 11:26:00,2020-09-03 09:00:00
5f50a222c195250eb9916434,00340434264503096179,2020-09-03,2020-09-03 16:34:00,DEU,31020,dhl-germany,DE-NI,f,f,HomeDeposit,2020-09-04 12:50:00,2020-09-03 09:00:00
5f50a222c195250eb9916439,01475110787558,2020-09-03,2020-09-04 18:30:00,DEU,40549,dpd-de,DE-NW,f,f,Unknown,2020-09-07 09:53:00,2020-09-04 00:00:00
5f50a222e480431da3808194,00340434264503096346,2020-09-03,2020-09-03 16:29:00,DEU,33104,dhl-germany,DE-NW,f,f,Unknown,2020-09-04 16:37:00,2020-09-03 09:00:00
5f50b05a52fbca1ce176dc79,00340434264503096599,2020-09-03,2020-09-03 14:46:00,IRL,68165,dhl-germany,IE,f,f,Unknown,2020-09-04 16:32:00,2020-09-03 09:00:00
5f50b05aaefdf821a4b65f2b,01475110787590,2020-09-03,2020-09-04 13:58:00,ESP,30009,dpd-de,ES-MC,f,f,Unknown,2020-09-09 10:58:00,2020-09-04 00:00:00
5f50b05b1b58cc22f2e1b91c,01455145820329,2020-09-03,2020-09-03 16:08:00,ESP,08028,dpd-de,ES-CT,f,f,Unknown,2020-09-07 12:49:00,2020-09-03 06:35:00
5f50b05b5bb11b2158df1619,01475110787607,2020-09-03,2020-09-04 18:24:00,DEU,45219,dpd-de,DE-NW,f,f,Unknown,2020-09-07 13:51:00,2020-09-04 00:00:00
5f50b05b77561f22aa192b7c,01475110787587,2020-09-03,2020-09-04 18:20:00,BEL,2910,dpd-de,BE-VLG,f,f,Unknown,2020-09-07 14:48:00,2020-09-04 00:00:00
5f50b05cbbc708218ec927c4,01455145820337,2020-09-03,2020-09-03 15:11:00,DEU,38479,dpd-de,DE-NI,f,f,Unknown,2020-09-04 17:35:14,2020-09-03 06:41:00
5f50b05cbdabb12ffcf39d61,01475110787591,2020-09-03,2020-09-04 18:25:00,DEU,75203,dpd-de,DE-BW,f,f,Unknown,2020-09-05 14:36:00,2020-09-04 00:00:00
5f50b06013c54c1eba14e948,01455145820331,2020-09-03,2020-09-03 15:29:00,FRA,75020,dpd-de,FR-J,f,f,Unknown,2020-09-09 15:07:08,2020-09-03 06:35:00
5f50b060ec943a1d0613e300,00340434264503096667,2020-09-03,2020-09-04 02:15:00,DEU,03044,dhl-germany,DE-BB,f,f,Unknown,2020-09-07 15:13:00,2020-09-03 10:00:00
5f50b06177561f22aa192b90,01455145820338,2020-09-03,2020-09-03 15:11:00,DEU,71364,dpd-de,DE-BW,f,f,Unknown,2020-09-04 13:16:51,2020-09-03 06:41:00
5f50b06277561f22aa192b96,00340434264503096797,2020-09-03,2020-09-03 16:27:00,DEU,88499,dhl-germany,DE-BW,f,f,Doorstep,2020-09-04 11:42:00,2020-09-03 10:00:00
5f50b062bbc708218ec927d5,01475110787623,2020-09-03,2020-09-04 18:21:00,BEL,5300,dpd-de,BE-WAL,f,f,Unknown,2020-09-07 15:35:00,2020-09-04 00:00:00
5f50b062bdabb12ffcf39d74,01475110787602,2020-09-03,2020-09-04 18:23:00,DEU,29683,dpd-de,DE-NI,f,f,Unknown,2020-09-07 17:02:00,2020-09-04 00:00:00
5f50b0631b58cc22f2e1b930,01475110787576,2020-09-03,2020-09-04 18:26:00,AUT,4655,dpd-de,AT-4,f,f,Unknown,2020-09-08 13:17:00,2020-09-04 00:00:00
5f50b0641253511d341e7e43,01455145820335,2020-09-03,2020-09-03 15:12:00,DEU,44388,dpd-de,DE-NW,f,f,Unknown,2020-09-07 14:33:24,2020-09-03 06:37:00
5f50b0646cef3f301bec94c0,01475110787620,2020-09-03,2020-09-04 18:22:00,NLD,1328RN,dpd-de,NL-FL,f,f,Neighbor,2020-09-07 10:27:00,2020-09-04 00:00:00
5f50b064aefdf821a4b65f51,1Z94341W6802688525,2020-09-03,2020-09-04 12:10:00,SWE,41326,ups,SE,f,f,Doorstep,2020-09-08 17:35:00,2020-09-03 10:00:00
5f50b064aefdf821a4b65f54,01475110787614,2020-09-03,2020-09-04 18:21:00,DEU,61231,dpd-de,DE-HE,f,f,Unknown,2020-09-07 09:33:00,2020-09-04 00:00:00
5f50b0655bb11b2158df1631,00340434264503096698,2020-09-03,2020-09-03 16:31:00,DEU,61169,dhl-germany,DE-HE,f,f,Unknown,2020-09-05 12:47:00,2020-09-03 10:00:00
5f50b06578c389302ec99517,01455145820334,2020-09-03,2020-09-03 16:02:00,DEU,60439,dpd-de,DE-HE,f,f,Unknown,2020-09-04 15:59:06,2020-09-03 06:37:00
5f50b0685bb11b2158df1637,00340434264503096643,2020-09-03,2020-09-03 16:33:00,DEU,84416,dhl-germany,DE-BY,f,f,Doorstep,2020-09-04 10:32:00,2020-09-03 10:00:00
5f50b0688365b71f094607a9,01475110787600,2020-09-03,2020-09-04 13:32:00,GBR,OX118EZ,dpd-de,GB-ENG,f,f,Unknown,2020-09-07 12:26:00,2020-09-04 00:00:00
5f50b068a601472ff2dce05f,01475110787611,2020-09-03,2020-09-04 13:39:00,GBR,KY85LZ,dpd-de,GB-SCT,f,f,Unknown,2020-09-07 14:07:00,2020-09-04 00:00:00
5f50b068ec943a1d0613e320,01475110787622,2020-09-03,2020-09-04 13:38:00,GBR,CV239HL,dpd-de,GB-ENG,f,f,Unknown,2020-09-07 10:26:00,2020-09-04 00:00:00
5f50b06978c389302ec99526,1Z94341W6802688543,2020-09-03,2020-09-04 20:20:00,IRL,V15Y407,ups,IE,f,f,Doorstep,2020-09-09 14:01:00,2020-09-03 10:00:00
5f50b069bdabb12ffcf39d8c,01475110787592,2020-09-03,2020-09-04 13:34:00,GBR,HP43SE,dpd-de,GB-ENG,f,f,Unknown,2020-09-06 15:47:00,2020-09-04 00:00:00
5f50b06a1b58cc22f2e1b93f,01475110787672,2020-09-03,2020-09-04 13:59:00,FRA,95400,dpd-de,FR-J,f,f,Unknown,2020-09-08 12:34:00,2020-09-04 00:00:00
5f50b06a6eecd92285f9f076,01475110787629,2020-09-03,2020-09-04 18:21:00,DEU,89312,dpd-de,DE-BY,f,f,Unknown,2020-09-07 09:57:00,2020-09-04 00:00:00
5f50b06abdabb12ffcf39d91,01475110787673,2020-09-03,2020-09-04 13:58:00,ESP,28290,dpd-de,ES-MD,f,f,Unknown,2020-09-09 10:59:00,2020-09-04 00:00:00
5f50b06c13c54c1eba14e95d,01475110787632,2020-09-03,2020-09-04 14:12:00,DEU,97488,dpd-de,DE-BY,f,f,Unknown,2020-09-05 13:40:00,2020-09-04 00:00:00
5f50b06c13c54c1eba14e960,01475110787659,2020-09-03,2020-09-04 14:13:00,DEU,92249,dpd-de,DE-BY,f,f,HomeDeposit,2020-09-07 13:05:00,2020-09-04 00:00:00
5f50b06d77561f22aa192ba2,01475110787651,2020-09-03,2020-09-04 13:59:00,ESP,30560,dpd-de,ES-MC,f,f,Unknown,2020-09-09 10:47:00,2020-09-04 00:00:00
5f50b06e3c3e3f21276dfe7f,01475110787640,2020-09-03,2020-09-04 13:59:00,BEL,8660,dpd-de,BE-VLG,f,f,Unknown,2020-09-08 12:20:00,2020-09-04 00:00:00
5f50b06e3ff3c43044ecb0b8,01475110787648,2020-09-03,2020-09-04 14:00:00,DEU,81541,dpd-de,DE-BY,f,f,Unknown,2020-09-05 14:39:00,2020-09-04 00:00:00
5f50b06e5bb11b2158df1643,01475110787643,2020-09-03,2020-09-04 14:13:00,BEL,1472,dpd-de,BE-WAL,f,f,Unknown,2020-09-07 10:53:00,2020-09-04 00:00:00
5f50b06f3c3e3f21276dfe82,01475110787674,2020-09-03,2020-09-04 13:57:00,DEU,68259,dpd-de,DE-BW,f,f,Neighbor,2020-09-05 13:05:00,2020-09-04 00:00:00
